项目名称,项目介绍,话题标签,利益点标准,口令要求,审核严格度
跑腿1对1急送,"黑钻会员每月可享1次免费跑腿1对1急送权益，无需领取、下单时直接勾选即用。专属骑手全程不接其他单，比普通跑腿平均提速20分钟，帮取送、帮买、帮代办等生活场景全覆盖。用更优惠的价格享受""专业+快""的急送服务，省时省力解决日常临时需求。",#美团黑钻会员 #跑腿急送 #1对1急送,"黑钻会员每月可享1次免费跑腿1对1急送权益；

比普通跑腿平均提速20分钟。",,
南京大牌档,南京大牌档全国130+门店，品牌稀缺的免排队、新品试吃等权益与美团黑钻用户高度匹配，通过联合会员实现双方会员身份互通（黑钻→状元、黑金→贡士）和权益共享。用户绑定后立享50元专属见面礼（满100减50），同时解锁优先排队、免费果盘、新品尝鲜等状元级特权。南牌侧配合线上线下全渠道1个月宣传资源，美团侧可同步透传迪士尼尊享卡、外卖1对1急送等锥子权益，实现双向导流和GTV增量。,#美团黑钻会员 #南京大牌档 #联合会员,"黑钻直升「状元」
黑金晋「贡士」
绑定即领满100-50进店见面礼
免排队（节假日不可用）
免费小食
新品尝鲜",,
酒店权益,"酒店权益（共7项） 黑钻/黑金/铂金等高等级会员可享专属酒店权益，涵盖预订折扣（最低85折）、免费升房、免费早餐、延迟退房、提前入住、无忧取消和欢迎水果，权益次数随等级提升逐步增加，黑钻可享无限次核心权益。
酒店积分权益（共2项） 高等级会员住酒店可享积分获取加速（黑钻2倍、黑金1.5倍、铂金1.2倍），同时每月可领取平台发放积分（黑钻2000分/月）用于三星及以上酒店大额抵扣房费（1000积分起抵，最高抵20%）。
万豪联合会员（1项） 美团高等级会员与万豪会员体系互通，在美团会员主页可直接查看万豪会员等级及对应权益，一键进入万豪店铺享受专属待遇，会员身份独立展示不受美团等级影响。",#美团会员住酒店 #美团会员酒店权益 #美团黑钻会员 #五一会员省钱局,"白银及以上订酒店最高85折
免费升房/免费早餐/延迟退房/提前入住按等级叠加解锁
黑钻会员每月还可领2000积分抵房费",,
无畏契约,本次活动以社交裂玩法为核心，通过“社交裂变→组队冲榜/消费任务→网吧集结”的任务体系，鼓励玩家主动寻找“瓦搭子”，引导玩家自然使用会员权益，并沉淀同业网吧业务的锥子用户。活动将发放大规模游戏道具权益（喷漆/挂饰/卡面/高价值枪皮），并在全国千家网吧铺设无聊，发起美团会员线下网吧赛，线上线下联动制造高声量事件。, #美团会员瓦吗 #美团会员组队打瓦 #美团黑钻会员 #无畏契约,"美团会员稀缺游戏皮肤福利，消费满400领限定刀皮

组队冲榜全队拿枪皮套装+清空夜市+200上网卡，皮肤党必冲。",,
王翊恩演唱会,"4.11 王翊恩-上海
美团黑钻会员演唱会包厢权益，将包厢权益由北京拓展至上海。",话题：#美团会员包厢 #演唱会 #黑钻许愿真有用 ,4.11王翊恩上海-18张门票,,
李荣浩演唱会,"4.18 李荣浩-杭州
美团黑钻会员演唱会包厢权益，将包厢权益拓展至杭州。",话题：#美团会员包厢 #演唱会 #黑钻许愿真有用 ,"4.17/4.18 李荣浩——19张门票 
其中4.17 10张  4.18 9张",,
One Republic演唱会,"4.20/4.21 One Republic-北京
美团黑钻会员演唱会包厢权益。",话题：#美团会员包厢 #演唱会 #黑钻许愿真有用 ,4.20 One republic-北京—22张门票,,
黑钻黑珍珠,四月联合明星主动打造「黑钻黑珍珠」系列IP，融入地方美食故事，在抖音/小红书预热，邀请美食 KOL解读引导观看直播，并在直播中发放黑钻会员专属福利，引导领券和下单，后期剪辑精彩片段二次传播。,话题词：#美团会员、#美团黑钻会员、#黑钻私宴、#张予曦、#美团黑钻黑珍珠晚宴,,,
矩阵常规运营,黑钻矩阵常规内容运营,#美团黑钻会员 #黑钻矩阵 #会员权益,,,
舵主同城活动-YSL美妆沙龙,美团黑钻「五月·爱你老己月」启幕礼：恰逢YSL最近刚推出「自由之水·上瘾浆果」的核心理念和香水，在15个人的空间里，通过闻香、点睛、分享“为自己咬开什么”，每一位会员都在完成一次与自己的深度对话。,#美团黑钻会员 #黑钻私享会 #爱自己的仪式感 #重庆探店 #大牌美妆体验 #五月爱你老己月,"美团黑钻会员专属15人私享沙龙，现场体验大牌美妆新品

核心体验：闻香定制 + 妆容点睛 + ""为自己咬开什么""深度分享

福利：美团专属伴手礼 + 大牌美妆小样赠送

核心产品：大牌「自由之水·上瘾浆果」香水 + 520限定彩妆系列",,normal
歌手N选1,以湖南卫视&芒果TV《歌手2026》独家冠名美团为契机，围绕“惊喜多选一”阵地，主推抽“美团会员独享歌手门票”（黑钻/黑金/白金用户每周消费满600元有机会获得），辅推每周五领芒果TV 3日卡免费看直播（黑金/黑钻免费直领，白金及以下完成30元消费任务可领）。,#每周五领福利 #美团会员 #美团惊喜多选一 #惊喜值,"黑钻/黑金/白金用户每周在惊喜多选一阵地完成消费任务，有机会获得歌手门票

芒果TV会员卡，周五刷新

黑金/黑钻直领
白金及以下完成30元消费任务可领

湖南卫视&芒果TV《歌手2026》独家冠名美团",,normal
小龙虾探店,,#美团黑钻龙虾季#黑钻会员免排队 #黑钻专属体验,"免排队、专人剥虾、专属伴手礼 
明确提及""美团黑钻会员""身份",,normal
